Date,DownstateNY_Bench,NorthNJ_Bench,UpstateNY_Bench,NY_Bench,NJ_Bench,PR_Bench,VI_Bench,NYC_Bench,LongIsland_Bench,PtnmRcklndWstchtr_Bench,Poughkeepsie_Bench,Kingston_Bench,BrgnHdsnPassc_Bench,NewBrunswick_Bench,Newark_Bench,Albany_Bench,Binghamton_Bench,Buffalo_Bench,Elmira_Bench,GlensFalls_Bench,Ithaca_Bench,Rochester_Bench,Syracuse_Bench,Utica_Bench,Watertown_Bench
03/31/2010,5826955.9912,2807249.664,2201369.4494,8509114.4117,3844092.6484,946872.77406,43866.287685,3733663.5995,1230124.2984,554029.43558,249155.01385,59983.643935,866048.67755,986287.85579,954913.13069,433497.31965,109016.70374,534120.64732,38938.851393,54232.699639,54242.826137,497658.99237,307558.76656,129042.24529,43060.397351
04/30/2010,5855860.1611,2826337.0273,2213390.0998,8554444.3982,3868487.7901,932210.25465,44025.210611,3752351.7818,1236633.6736,555877.19237,250749.29723,60248.216151,869625.28899,991965.45647,964746.28183,435245.78317,109614.53558,537479.7858,39108.541865,55295.310901,54506.260155,498994.31389,310126.54532,129870.8842,43148.138875
05/31/2010,5873154.0696,2828585.849,2212275.7214,8580008.7466,3869791.1835,934789.48473,43862.070706,3769243.4274,1236033.9454,556297.20075,251391.28667,60188.209447,870702.36298,991774.95867,966108.52731,434967.91095,109096.11,537139.32277,39147.147223,55005.0791,54752.689261,499038.02254,309306.18186,130359.59028,43463.667379
06/30/2010,5864238.3582,2827095.2169,2205219.9449,8558148.6286,3861596.7199,931291.5863,44011.755254,3763746.4263,1233093.381,555703.37882,251376.91685,60318.255187,870686.95111,992184.66665,964223.59911,433365.79485,108552.55933,535249.89301,39249.585565,54692.031316,54454.758376,498501.87092,308488.17498,129674.79554,42990.48103
07/31/2010,5842896.5725,2818324.9944,2204026.379,8530262.6985,3852843.677,929878.44071,44167.337363,3745754.7092,1231626.0342,554430.22946,251162.91103,59922.688574,867000.29092,988161.22989,963163.47359,432662.89726,108401.21174,534048.60444,39293.23084,54458.333366,54234.635624,499102.34847,309340.67378,129611.24928,42873.194195
08/31/2010,5850932.6195,2816824.8817,2201965.6433,8529868.3955,3846345.9702,928475.83311,44220.522356,3750612.3826,1233320.1233,555099.51107,251694.489,60206.113606,867778.61764,988324.59322,960721.67083,431698.11409,107970.63303,534354.83971,39196.15134,54805.837665,54370.523275,499429.41882,307859.09723,129188.76943,43092.258715
09/30/2010,5860323.9292,2809344.219,2202465.9708,8543273.6896,3833906.7675,925751.65924,44370.163313,3758795.7562,1235712.5419,554186.32755,251354.14668,60275.156878,868042.50453,983513.50253,957788.21198,431722.85817,108551.17028,534972.75769,39278.998238,54776.687419,54387.725769,498848.39976,308012.19394,128794.25589,43120.923617
10/31/2010,5880742.1098,2816159.767,2206966.6627,8576279.5757,3843089.892,923627.307,44176.444762,3772892.7005,1240422.8451,555968.02405,251557.09223,59901.447855,870349.57422,988350.32139,957459.87136,431062.63503,108733.26317,536725.4077,39516.461184,54431.200391,54269.161526,501149.42523,309021.30636,129079.80533,42977.996778
11/30/2010,5887599.4928,2815215.5458,2208174.1796,8589190.0235,3841380.3852,921438.83845,45275.612948,3777431.8244,1242900.709,556361.94387,251362.76727,59542.248224,869351.66525,988130.77656,957733.10399,431248.41529,108631.81433,537681.71297,39441.741084,54720.919444,54302.331405,501515.98315,308976.0001,128697.69191,42957.56995
12/31/2010,5889987.4446,2814992.6749,2206350.7963,8582125.6496,3840986.8786,921900.07613,44480.504446,3783727.5651,1239935.2561,555431.50458,251566.86317,59326.255573,868981.4003,989184.32803,956826.94654,431672.7197,107877.21686,538008.98126,39460.471882,54913.787057,54309.137999,500099.42499,308283.47803,128863.28626,42862.292256
